,title,artist,region,date,stream,Rank
19741,Yo Perreo Sola,Bad Bunny,Mexico,2020-04,18016543,2
19742,Rojo,J Balvin,Mexico,2020-04,15365213,3
19743,Blinding Lights,The Weeknd,Mexico,2020-04,14958771,4
19744,Si Veo a Tu Mamá,Bad Bunny,Mexico,2020-04,14579201,5
19745,Tusa,"KAROL G, Nicki Minaj",Mexico,2020-04,13077838,6
19746,Favorito,Camilo,Mexico,2020-04,12834654,7
19747,La Difícil,Bad Bunny,Mexico,2020-04,11974071,8
19748,Morado,J Balvin,Mexico,2020-04,11899010,9
19749,Ignorantes,"Bad Bunny, Sech",Mexico,2020-04,11718180,10
19750,Todo De Ti,Rauw Alejandro,Mexico,2021-08,24267718,1
19751,Yonaguni,Bad Bunny,Mexico,2021-08,22089600,2
19752,Pepas,Farruko,Mexico,2021-08,21382318,3
19753,Volví,"Aventura, Bad Bunny",Mexico,2021-08,19302089,4
19754,Qué Más Pues?,"J Balvin, Maria Becerra",Mexico,2021-08,17749178,5
19755,Botella Tras Botella,"Gera MX, Christian Nodal",Mexico,2021-08,15873120,6
19756,AM Remix,"Nio Garcia, J Balvin, Bad Bunny",Mexico,2021-08,15420261,7
19757,París,Ingratax,Mexico,2021-08,14148067,8
19758,Sobrio,Maluma,Mexico,2021-08,14115070,9
19759,Pareja Del Año,"Sebastian Yatra, Myke Towers",Mexico,2021-08,13115738,10
19760,Rompe,"Priceless, Frenna, Murda",Netherlands,2019-03,7856347,1
19761,Hij Is Van Mij (feat. Bizzey),"Kris Kross Amsterdam, Maan, Tabitha",Netherlands,2019-03,7497127,2
19762,Als Het Avond Is,Suzan & Freek,Netherlands,2019-03,5719502,3
19763,Don't Call Me Up,Mabel,Netherlands,2019-03,5494735,4
19764,Baby Momma,"Yung Felix, Poke, Bizzey",Netherlands,2019-03,5427701,5
19765,Shallow,"Lady Gaga, Bradley Cooper",Netherlands,2019-03,5202486,6
19766,IJskoud,Nielson,Netherlands,2019-03,5171133,7
19767,Scars,Snelle,Netherlands,2019-03,5098573,8
19768,Duurt Te Lang,Davina Michelle,Netherlands,2019-03,4883616,9
19769,Fully Fendi,Mula B,Netherlands,2019-03,4856808,10
19770,Señorita,"Shawn Mendes, Camila Cabello",Netherlands,2019-08,8157958,1
19771,Reünie,Snelle,Netherlands,2019-08,7288690,2
19772,Hoe Het Danst,"Marco Borsato, Armin van Buuren, Davina Michelle",Netherlands,2019-08,6182976,3
19773,Loco Contigo (feat. J. Balvin & Tyga),"DJ Snake, J Balvin",Netherlands,2019-08,5966254,4
19774,I Don't Care (with Justin Bieber),Ed Sheeran,Netherlands,2019-08,5169924,5
19775,DomDoen,"Henkie T, Jonna Fraser",Netherlands,2019-08,5092629,6
19776,Zo Kan Het Dus Ook,Maan,Netherlands,2019-08,4841949,7
19777,Piece Of Your Heart,"MEDUZA, Goodboys",Netherlands,2019-08,4834612,8
19778,Beautiful People (feat. Khalid),Ed Sheeran,Netherlands,2019-08,4827872,9
19779,4 Life,"Jonna Fraser, Lil Kleine",Netherlands,2019-08,4560872,10
19780,Blinding Lights,The Weeknd,Netherlands,2020-03,7524927,1
19781,Smoorverliefd,Snelle,Netherlands,2020-03,5628762,2
19782,Intentions (feat. Quavo),Justin Bieber,Netherlands,2020-03,5198872,3
19783,Wat Is Je Naam,"Yxng Le, Frenna",Netherlands,2020-03,5190400,4
19784,Loop Niet Weg,"Kris Kross Amsterdam, Tino Martin, Emma Heesters",Netherlands,2020-03,5133962,5
19785,Don't Start Now,Dua Lipa,Netherlands,2020-03,5014755,6
19786,Het Is Al Laat Toch,Racoon,Netherlands,2020-03,4891398,7
19787,Before You Go,Lewis Capaldi,Netherlands,2020-03,4748534,8
19788,Roses - Imanbek Remix,SAINt JHN,Netherlands,2020-03,4635714,9
19789,17 Miljoen Mensen - Live @538 in Ahoy,"Davina Michelle, Snelle",Netherlands,2020-03,4470373,10
19790,Blijven Slapen,"Snelle, Maan",Netherlands,2021-05,6373642,1
19791,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,Netherlands,2021-05,5729781,2
19792,MONTERO (Call Me By Your Name),Lil Nas X,Netherlands,2021-05,5559730,3
19793,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers",Netherlands,2021-05,5295983,4
19794,Goud,Suzan & Freek,Netherlands,2021-05,5010080,5
19795,BED,"Joel Corry, RAYE, David Guetta",Netherlands,2021-05,4527725,6
19796,Kiss Me More (feat. SZA),Doja Cat,Netherlands,2021-05,4521209,7
19797,Rasputin,"Majestic, Boney M.",Netherlands,2021-05,4507291,8
19798,Regen,Lil Kleine,Netherlands,2021-05,4300908,9
19799,good 4 u,Olivia Rodrigo,Netherlands,2021-05,4014332,10
19800,Young Dumb & Broke,Khalid,New Zealand,2017-09,1423991,1
19801,New Rules,Dua Lipa,New Zealand,2017-09,1314714,2
19802,Havana,"Camila Cabello, Young Thug",New Zealand,2017-09,1175739,3
19803,Glorious (feat. Skylar Grey),Macklemore,New Zealand,2017-09,1144133,4
19804,1-800-273-8255,"Logic, Alessia Cara, Khalid",New Zealand,2017-09,1089271,5
19805,Sorry Not Sorry,Demi Lovato,New Zealand,2017-09,1072351,6
19806,Look What You Made Me Do,Taylor Swift,New Zealand,2017-09,1063516,7
19807,Friends (with BloodPop®),Justin Bieber,New Zealand,2017-09,1019997,8
19808,Unforgettable,"French Montana, Swae Lee",New Zealand,2017-09,995342,9
19809,rockstar,"Post Malone, 21 Savage",New Zealand,2017-09,973558,10
19810,Youngblood,5 Seconds of Summer,New Zealand,2018-06,1530334,1
19811,Better Now,Post Malone,New Zealand,2018-06,1350474,2
19812,Girls Like You (feat. Cardi B),Maroon 5,New Zealand,2018-06,1131842,3
19813,Lucid Dreams,Juice WRLD,New Zealand,2018-06,1062303,4
19814,lovely (with Khalid),Billie Eilish,New Zealand,2018-06,1058804,5
19815,Nice For What,Drake,New Zealand,2018-06,1021572,6
19816,I Like It,"Cardi B, Bad Bunny, J Balvin",New Zealand,2018-06,978116,7
19817,SAD!,XXXTENTACION,New Zealand,2018-06,944825,8
19818,All Mine,Kanye West,New Zealand,2018-06,860774,9
19819,Back To You,Selena Gomez,New Zealand,2018-06,851844,10
19820,"thank u, next",Ariana Grande,New Zealand,2018-12,1730588,1
19821,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",New Zealand,2018-12,1207727,2
19822,Sweet but Psycho,Ava Max,New Zealand,2018-12,1198611,3
19823,Without Me,Halsey,New Zealand,2018-12,1108465,4
19824,Shotgun,George Ezra,New Zealand,2018-12,1086833,5
19825,Shallow,"Lady Gaga, Bradley Cooper",New Zealand,2018-12,1060691,6
19826,All I Want for Christmas Is You,Mariah Carey,New Zealand,2018-12,1049180,7
19827,Better,Khalid,New Zealand,2018-12,972255,8
19828,Eastside (with Halsey & Khalid),benny blanco,New Zealand,2018-12,924830,9
19829,Happier,"Marshmello, Bastille",New Zealand,2018-12,916156,10
19830,ROXANNE,Arizona Zervas,New Zealand,2019-11,1747855,1
19831,Dance Monkey,Tones And I,New Zealand,2019-11,1600120,2
19832,Circles,Post Malone,New Zealand,2019-11,1304273,3
19833,Memories,Maroon 5,New Zealand,2019-11,1263553,4
19834,Please Don't Go,SIX60,New Zealand,2019-11,1192300,5
19835,hot girl bummer,blackbear,New Zealand,2019-11,1181660,6
19836,Catching Feelings (feat. SIX60),Drax Project,New Zealand,2019-11,1132162,7
19837,The Greatest,SIX60,New Zealand,2019-11,1115242,8
19838,Don't Start Now,Dua Lipa,New Zealand,2019-11,1028194,9
19839,HIGHEST IN THE ROOM,Travis Scott,New Zealand,2019-11,904107,10
19840,Yummy,Justin Bieber,New Zealand,2020-01,1415157,1
19841,Dance Monkey,Tones And I,New Zealand,2020-01,1407157,2
19842,The Box,Roddy Ricch,New Zealand,2020-01,1362544,3
19843,ROXANNE,Arizona Zervas,New Zealand,2020-01,1348709,4
19844,Glitter,BENEE,New Zealand,2020-01,1212948,5
19845,Don't Start Now,Dua Lipa,New Zealand,2020-01,1117945,6
19846,Circles,Post Malone,New Zealand,2020-01,1107902,7
19847,Catching Feelings (feat. SIX60),Drax Project,New Zealand,2020-01,1077979,8
19848,Memories,Maroon 5,New Zealand,2020-01,1014566,9
19849,In the Air,L.A.B.,New Zealand,2020-01,967015,10
19850,WAP (feat. Megan Thee Stallion),Cardi B,New Zealand,2020-09,1852683,1
19851,Mood (feat. iann dior),24kGoldn,New Zealand,2020-09,1644639,2
19852,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",New Zealand,2020-09,1182087,3
19853,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,New Zealand,2020-09,930380,4
19854,Laugh Now Cry Later (feat. Lil Durk),Drake,New Zealand,2020-09,897678,5
19855,Go Crazy,"Chris Brown, Young Thug",New Zealand,2020-09,865186,6
19856,In The Air,L.A.B.,New Zealand,2020-09,860854,7
19857,Mood Swings (feat. Lil Tjay),Pop Smoke,New Zealand,2020-09,853863,8
19858,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,New Zealand,2020-09,837671,9
19859,Head & Heart (feat. MNEK),Joel Corry,New Zealand,2020-09,835289,10
19860,STAY (with Justin Bieber),The Kid LAROI,New Zealand,2021-08,1752562,1
19861,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,New Zealand,2021-08,1310371,2
19862,Bad Habits,Ed Sheeran,New Zealand,2021-08,1149697,3
19863,Happier Than Ever,Billie Eilish,New Zealand,2021-08,1045043,4
19864,Beggin',Måneskin,New Zealand,2021-08,1011742,5
19865,good 4 u,Olivia Rodrigo,New Zealand,2021-08,916598,6
19866,Need To Know,Doja Cat,New Zealand,2021-08,904323,7
19867,Kiss Me More (feat. SZA),Doja Cat,New Zealand,2021-08,867455,8
19868,Heat Waves,Glass Animals,New Zealand,2021-08,696390,9
19869,MONTERO (Call Me By Your Name),Lil Nas X,New Zealand,2021-08,636401,10
19870,Otro Trago,"Sech, Darell",Nicaragua,2019-05,15792,1
19871,Verte Ir,"DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago",Nicaragua,2019-05,10744,2
19872,Con Calma,"Daddy Yankee, Snow",Nicaragua,2019-05,10069,3
19873,Te Vi,"Piso 21, Micro TDH",Nicaragua,2019-05,9469,4
19874,Soltera - Remix,"Lunay, Daddy Yankee, Bad Bunny",Nicaragua,2019-05,8907,5
19875,Calma - Remix,"Pedro Capó, Farruko",Nicaragua,2019-05,8078,6
19876,Rebota,Guaynaa,Nicaragua,2019-05,7905,7
19877,Pa Mí - Remix,"Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez",Nicaragua,2019-05,7813,8
19878,Secreto,"Anuel AA, KAROL G",Nicaragua,2019-05,7574,9
19879,Desconocidos,"Mau y Ricky, Manuel Turizo, Camilo",Nicaragua,2019-05,7205,10
19880,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",Nicaragua,2019-08,257511,1
19881,Callaita,"Bad Bunny, Tainy",Nicaragua,2019-08,206516,2
19882,LA CANCIÓN,"J Balvin, Bad Bunny",Nicaragua,2019-08,193134,3
19883,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",Nicaragua,2019-08,132441,4
19884,Otro Trago - Remix,"Sech, Ozuna, Anuel AA, Darell, Nicky Jam",Nicaragua,2019-08,128664,5
19885,Bellacoso,"Residente, Bad Bunny",Nicaragua,2019-08,102563,6
19886,Verte Ir,"DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago",Nicaragua,2019-08,96302,7
19887,Señorita,"Shawn Mendes, Camila Cabello",Nicaragua,2019-08,95154,8
19888,Cuaderno,"Dalex, Nicky Jam, Justin Quiles, Sech, Lenny Tavárez, Feid, Rafa Pabön",Nicaragua,2019-08,95017,9
19889,QUE PRETENDES,"J Balvin, Bad Bunny",Nicaragua,2019-08,93365,10
19890,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",Nicaragua,2019-09,189557,1
19891,LA CANCIÓN,"J Balvin, Bad Bunny",Nicaragua,2019-09,166895,2
19892,Callaita,"Bad Bunny, Tainy",Nicaragua,2019-09,160383,3
19893,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",Nicaragua,2019-09,131761,4
19894,Tutu,"Camilo, Pedro Capó",Nicaragua,2019-09,104079,5
19895,Otro Trago - Remix,"Sech, Ozuna, Anuel AA, Darell, Nicky Jam",Nicaragua,2019-09,94894,6
19896,QUE PRETENDES,"J Balvin, Bad Bunny",Nicaragua,2019-09,88035,7
19897,Cuaderno,"Dalex, Nicky Jam, Justin Quiles, Sech, Lenny Tavárez, Feid, Rafa Pabön",Nicaragua,2019-09,86182,8
19898,Bellacoso,"Residente, Bad Bunny",Nicaragua,2019-09,80233,9
19899,Con Altura,"ROSALÍA, J Balvin, El Guincho",Nicaragua,2019-09,80112,10
19900,Yonaguni,Bad Bunny,Nicaragua,2021-10,245690,1
19901,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,Nicaragua,2021-10,208330,2
19902,Volví,"Aventura, Bad Bunny",Nicaragua,2021-10,185049,3
19903,Pepas,Farruko,Nicaragua,2021-10,167651,4
19904,Volando - Remix,"Mora, Bad Bunny, Sech",Nicaragua,2021-10,162025,5
19905,AM Remix,"Nio Garcia, J Balvin, Bad Bunny",Nicaragua,2021-10,154827,6
19906,DÁKITI,"Bad Bunny, Jhay Cortez",Nicaragua,2021-10,149167,7
19907,Todo De Ti,Rauw Alejandro,Nicaragua,2021-10,136397,8
19908,Sobrio,Maluma,Nicaragua,2021-10,132143,9
19909,120,Bad Bunny,Nicaragua,2021-10,126571,10
19910,Wow.,Post Malone,Norway,2019-01,3122615,1
19911,Lost Control,"Alan Walker, Sorana",Norway,2019-01,2770572,2
19912,Sweet but Psycho,Ava Max,Norway,2019-01,2717563,3
19913,Shallow,"Lady Gaga, Bradley Cooper",Norway,2019-01,2667722,4
19914,Without Me,Halsey,Norway,2019-01,2350879,5
19915,Diamond Heart,"Alan Walker, Sophia Somajo",Norway,2019-01,2133888,6
19916,Lay By Me,Ruben,Norway,2019-01,2013227,7
19917,Be Alright,Dean Lewis,Norway,2019-01,1999613,8
19918,when the party's over,Billie Eilish,Norway,2019-01,1965826,9
19919,"thank u, next",Ariana Grande,Norway,2019-01,1932235,10
19920,Dance Monkey,Tones And I,Norway,2019-09,5938323,1
19921,Play,"K-391, Alan Walker, Tungevaag, Mangoo",Norway,2019-09,3297261,2
19922,Señorita,"Shawn Mendes, Camila Cabello",Norway,2019-09,2994841,3
19923,Circles,Post Malone,Norway,2019-09,2968925,4
19924,Ransom,Lil Tecca,Norway,2019-09,2443635,5
19925,Hollywood's Bleeding,Post Malone,Norway,2019-09,2417116,6
19926,Someone You Loved,Lewis Capaldi,Norway,2019-09,2343010,7
19927,Hvem Er Hun,Arif,Norway,2019-09,2113226,8
19928,HALLO,"Isah, Dutty Dior",Norway,2019-09,2062911,9
19929,How Do You Sleep?,Sam Smith,Norway,2019-09,2008163,10
19930,Dance Monkey,Tones And I,Norway,2019-10,4650341,1
19931,HIGHEST IN THE ROOM,Travis Scott,Norway,2019-10,2790493,2
19932,Someone You Loved,Lewis Capaldi,Norway,2019-10,2491196,3
19933,Play,"K-391, Alan Walker, Tungevaag, Mangoo",Norway,2019-10,2396093,4
19934,Hvem Er Hun,Arif,Norway,2019-10,2341813,5
19935,Memories,Maroon 5,Norway,2019-10,2257567,6
19936,Circles,Post Malone,Norway,2019-10,2222547,7
19937,Señorita,"Shawn Mendes, Camila Cabello",Norway,2019-10,2174873,8
19938,How Do You Sleep?,Sam Smith,Norway,2019-10,1852028,9
19939,Hollywood's Bleeding,Post Malone,Norway,2019-10,1827938,10
19940,STAY (with Justin Bieber),The Kid LAROI,Norway,2021-09,3260894,1
19941,Heat Waves,Glass Animals,Norway,2021-09,2570895,2
19942,Bad Habits,Ed Sheeran,Norway,2021-09,2531534,3
19943,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,Norway,2021-09,2247710,4
19944,Thunder,"Gabry Ponte, LUM!X, Prezioso",Norway,2021-09,2134331,5
19945,Hurricane,Kanye West,Norway,2021-09,1878372,6
19946,Den fineste Chevy'n (feat. Maria Mena),Halva Priset,Norway,2021-09,1843534,7
19947,Shivers,Ed Sheeran,Norway,2021-09,1647230,8
19948,Smilet i ditt eget speil,Chris Holsten,Norway,2021-09,1606297,9
19949,Samma gamla vanliga,A36,Norway,2021-09,1593809,10
19950,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Panama,2018-06,393001,1
19951,La player (Bandolera),Zion & Lennox,Panama,2018-06,228521,2
19952,Madura (feat. Bad Bunny),Cosculluela,Panama,2018-06,228316,3
19953,X,"Nicky Jam, J Balvin",Panama,2018-06,219036,4
19954,Me Niego (feat. Ozuna & Wisin),Reik,Panama,2018-06,215870,5
19955,Unica,Ozuna,Panama,2018-06,206298,6
19956,I Like It,"Cardi B, Bad Bunny, J Balvin",Panama,2018-06,194776,7
19957,Sin Pijama,"Becky G, Natti Natasha",Panama,2018-06,177482,8
19958,Síguelo Bailando,Ozuna,Panama,2018-06,166618,9
19959,Por Perro,"Sebastian Yatra, Luis Figueroa, Lary Over",Panama,2018-06,154536,10
19960,MIA (feat. Drake),Bad Bunny,Panama,2018-11,450266,1
19961,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,Panama,2018-11,445281,2
19962,Culpables,"KAROL G, Anuel AA",Panama,2018-11,308134,3
19963,Bubalu,"Becky G, Prince Royce, DJ Luian, Mambo Kingz, Anuel AA",Panama,2018-11,307969,4
19964,Vaina Loca,"Ozuna, Manuel Turizo",Panama,2018-11,300758,5
19965,Ibiza,"Ozuna, Romeo Santos",Panama,2018-11,288894,6
19966,Ella Quiere Beber - Remix,"Anuel AA, Romeo Santos",Panama,2018-11,288307,7
19967,BEBE,"6ix9ine, Anuel AA",Panama,2018-11,286373,8
19968,Quiere Beber,Anuel AA,Panama,2018-11,241491,9
19969,Ni Gucci Ni Prada,Kenny Man,Panama,2018-11,230130,10
19970,DÁKITI,"Bad Bunny, Jhay Cortez",Panama,2021-01,728655,1
19971,Hecha Pa' Mi,Boza,Panama,2021-01,599281,2
19972,Bandido,"Myke Towers, Juhn",Panama,2021-01,591771,3
19973,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",Panama,2021-01,514399,4
19974,BICHOTA,KAROL G,Panama,2021-01,480127,5
19975,La Nota,"Manuel Turizo, Rauw Alejandro, Myke Towers",Panama,2021-01,406597,6
19976,Reloj,"Rauw Alejandro, Anuel AA",Panama,2021-01,370296,7
19977,Mi Niña,"Wisin, Myke Towers, Los Legendarios",Panama,2021-01,333098,8
19978,La Tóxica,Farruko,Panama,2021-01,320781,9
19979,TE MUDASTE,Bad Bunny,Panama,2021-01,318808,10
19980,Reggaetón Lento (Bailemos),CNCO,Paraguay,2017-01,333603,1
19981,Despacito (Featuring Daddy Yankee),Luis Fonsi,Paraguay,2017-01,300227,2
19982,Deu Onda,MC G15,Paraguay,2017-01,293666,3
19983,Chantaje (feat. Maluma),Shakira,Paraguay,2017-01,288651,4
19984,Otra vez (feat. J Balvin),Zion & Lennox,Paraguay,2017-01,268853,5
19985,Safari,"J Balvin, Pharrell Williams, BIA, Sky",Paraguay,2017-01,255837,6
19986,Vacaciones,Wisin,Paraguay,2017-01,216832,7
19987,Vente Pa' Ca (feat. Maluma),Ricky Martin,Paraguay,2017-01,194207,8
19988,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)","IAmChino, El Chacal",Paraguay,2017-01,188296,9
19989,Dile Que Tu Me Quieres,Ozuna,Paraguay,2017-01,183084,10
19990,Despacito (Featuring Daddy Yankee),Luis Fonsi,Paraguay,2017-03,491444,1
19991,Me Rehúso,Danny Ocean,Paraguay,2017-03,415704,2
19992,Shape of You,Ed Sheeran,Paraguay,2017-03,336017,3
19993,El Amante,Nicky Jam,Paraguay,2017-03,332313,4
19994,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,Paraguay,2017-03,272142,5
19995,Reggaetón Lento (Bailemos),CNCO,Paraguay,2017-03,263861,6
19996,SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),Enrique Iglesias,Paraguay,2017-03,260599,7
19997,Otra vez (feat. J Balvin),Zion & Lennox,Paraguay,2017-03,236645,8
19998,Olha a Explosão,MC Kevinho,Paraguay,2017-03,232521,9
19999,Deu Onda,MC G15,Paraguay,2017-03,221255,10
20000,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",Paraguay,2019-09,1038055,1
20001,LA CANCIÓN,"J Balvin, Bad Bunny",Paraguay,2019-09,927322,2
20002,Adicto (with Anuel AA & Ozuna),Tainy,Paraguay,2019-09,883967,3
20003,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",Paraguay,2019-09,798182,4
20004,Callaita,"Bad Bunny, Tainy",Paraguay,2019-09,760416,5
20005,Tutu,"Camilo, Pedro Capó",Paraguay,2019-09,725156,6
20006,Otro Trago - Remix,"Sech, Ozuna, Anuel AA, Darell, Nicky Jam",Paraguay,2019-09,684788,7
20007,Si Se Da - Remix,"Myke Towers, Farruko, Arcangel, Sech, Zion",Paraguay,2019-09,559064,8
20008,Si Supieras,"Daddy Yankee, Wisin & Yandel",Paraguay,2019-09,535166,9
20009,Atrévete,"Nicky Jam, Sech",Paraguay,2019-09,527938,10
20010,La Curiosidad,"Jay Wheeler, DJ Nelson, Myke Towers",Paraguay,2020-08,1770389,1
20011,Hawái,Maluma,Paraguay,2020-08,1680466,2
20012,La Jeepeta - Remix,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",Paraguay,2020-08,1611541,3
20013,"Ay, DiOs Mío!",KAROL G,Paraguay,2020-08,1423035,4
20014,Caramelo,Ozuna,Paraguay,2020-08,1377131,5
20015,Relación,Sech,Paraguay,2020-08,1239039,6
20016,"""Agua (with J Balvin) - Music From """"Sponge On The Run"""" Movie""",Tainy,Paraguay,2020-08,1125285,7
20017,Tattoo - Remix with Camilo,Rauw Alejandro,Paraguay,2020-08,1104347,8
20018,Elegí (feat. Dímelo Flow),"Rauw Alejandro, Dalex, Lenny Tavárez",Paraguay,2020-08,968525,9
20019,UN DIA (ONE DAY) (Feat. Tainy),"J Balvin, Dua Lipa, Bad Bunny",Paraguay,2020-08,944293,10
20020,Me Rehúso,Danny Ocean,Peru,2017-08,2455270,1
20021,Mi Gente,"J Balvin, Willy William",Peru,2017-08,2403770,2
20022,Una Lady Como Tú,Manuel Turizo,Peru,2017-08,2323096,3
20023,Felices los 4,Maluma,Peru,2017-08,2088896,4
20024,Escápate Conmigo,"Wisin, Ozuna",Peru,2017-08,1907458,5
20025,Ahora Dice,"Chris Jedi, J Balvin, Ozuna, Arcangel",Peru,2017-08,1593577,6
20026,Mayores,"Becky G, Bad Bunny",Peru,2017-08,1548458,7
20027,Bonita,"J Balvin, Jowell & Randy",Peru,2017-08,1512442,8
20028,Hey DJ,"CNCO, Yandel",Peru,2017-08,1457881,9
20029,Krippy Kush,"Farruko, Bad Bunny, Rvssian",Peru,2017-08,1360625,10
20030,Cuando Te Besé,"Becky G, Paulo Londra",Peru,2018-09,2899592,1
20031,Vaina Loca,"Ozuna, Manuel Turizo",Peru,2018-09,2612215,2
20032,No Es Justo,"J Balvin, Zion & Lennox",Peru,2018-09,2291285,3
20033,Sin Pijama,"Becky G, Natti Natasha",Peru,2018-09,2137008,4
20034,Por Perro,"Sebastian Yatra, Luis Figueroa, Lary Over",Peru,2018-09,2107923,5
20035,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Peru,2018-09,2104482,6
20036,Mala Mía,Maluma,Peru,2018-09,2058679,7
20037,No Me Acuerdo,"Thalia, Natti Natasha",Peru,2018-09,1842733,8
20038,Amigos Con Derechos,"Reik, Maluma",Peru,2018-09,1808904,9
20039,La player (Bandolera),Zion & Lennox,Peru,2018-09,1650865,10
20040,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,Peru,2018-11,3861163,1
20041,MIA (feat. Drake),Bad Bunny,Peru,2018-11,3386540,2
20042,Cuando Te Besé,"Becky G, Paulo Londra",Peru,2018-11,3014486,3
20043,Culpables,"KAROL G, Anuel AA",Peru,2018-11,2659424,4
20044,Amigos Con Derechos,"Reik, Maluma",Peru,2018-11,2623836,5
20045,Vaina Loca,"Ozuna, Manuel Turizo",Peru,2018-11,2560593,6
20046,BEBE,"6ix9ine, Anuel AA",Peru,2018-11,2531484,7
20047,Adan y Eva,Paulo Londra,Peru,2018-11,2400748,8
20048,Mala Mía,Maluma,Peru,2018-11,2077824,9
20049,Ya No Tiene Novio,"Sebastian Yatra, Mau y Ricky",Peru,2018-11,1957886,10
20050,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",Peru,2019-10,3829914,1
20051,LA CANCIÓN,"J Balvin, Bad Bunny",Peru,2019-10,3201651,2
20052,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",Peru,2019-10,3143238,3
20053,Tutu,"Camilo, Pedro Capó",Peru,2019-10,3095403,4
20054,Callaita,"Bad Bunny, Tainy",Peru,2019-10,2891116,5
20055,Soltera - Remix,"Lunay, Daddy Yankee, Bad Bunny",Peru,2019-10,2382521,6
20056,Adicto (with Anuel AA & Ozuna),Tainy,Peru,2019-10,2357302,7
20057,Otro Trago - Remix,"Sech, Ozuna, Anuel AA, Darell, Nicky Jam",Peru,2019-10,2321899,8
20058,"Yo x Ti, Tu x Mi","ROSALÍA, Ozuna",Peru,2019-10,2186556,9
20059,QUE PRETENDES,"J Balvin, Bad Bunny",Peru,2019-10,2178824,10
20060,Bandido,"Myke Towers, Juhn",Peru,2021-03,3869434,1
20061,Ella No Es Tuya - Remix,"Rochy RD, Myke Towers, Nicki Nicole",Peru,2021-03,3198927,2
20062,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",Peru,2021-03,3106828,3
20063,telepatía,Kali Uchis,Peru,2021-03,2875535,4
20064,DÁKITI,"Bad Bunny, Jhay Cortez",Peru,2021-03,2795369,5
20065,Hecha Pa' Mi,Boza,Peru,2021-03,2660364,6
20066,Fiel,"Los Legendarios, Wisin, Jhay Cortez",Peru,2021-03,2547885,7
20067,BICHOTA,KAROL G,Peru,2021-03,2542112,8
20068,Reloj,"Rauw Alejandro, Anuel AA",Peru,2021-03,2495398,9
20069,No Te Enamores - Remix,"Milly, Farruko, Nio Garcia, Jay Wheeler, Amenazzy",Peru,2021-03,2393789,10
20070,Todo De Ti,Rauw Alejandro,Peru,2021-06,8393109,1
20071,Yonaguni,Bad Bunny,Peru,2021-06,5501220,2
20072,Pareja Del Año,"Sebastian Yatra, Myke Towers",Peru,2021-06,4313078,3
20073,Qué Más Pues?,"J Balvin, Maria Becerra",Peru,2021-06,3245504,4
20074,Miénteme,"TINI, Maria Becerra",Peru,2021-06,3240122,5
20075,Fiel,"Los Legendarios, Wisin, Jhay Cortez",Peru,2021-06,3181687,6
20076,Butter,BTS,Peru,2021-06,2977647,7
20077,2/Catorce,"Rauw Alejandro, Mr. Naisgai",Peru,2021-06,2716454,8
20078,Sal y Perrea,Sech,Peru,2021-06,2706754,9
20079,AM,"Nio Garcia, Flow La Movie",Peru,2021-06,2684479,10
20080,Sobrio,Maluma,Peru,2021-10,3230275,1
20081,Yonaguni,Bad Bunny,Peru,2021-10,2858207,2
20082,Todo De Ti,Rauw Alejandro,Peru,2021-10,2603151,3
